id:ID,description,source_project,:LABEL
Risk_187,어스앵커 여유장(돌출부) 미반영 및 띠장 스티프너 누락에 따른 긴장 실패_서남위생현대화,서남위생현대화,Risk
Risk_188,사면 지반조건 상이에 따른 어스앵커 지보재 긴급 추가 투입_서울지하철 923공구,서울지하철 923공구,Risk
Risk_189,GRP Bolt 정착 실패 및 막장 붕락 리스크_김포도시철도 3공구,김포도시철도 3공구,Risk
Risk_190,저토피 구간 굴착 중 지반 하중 전이 실패 및 지표 침하 리스크_서해선 복선전철 5공구,서해선 복선전철 5공구,Risk
Risk_191,다량의 지하수 유출에 따른 강지보재(지보패턴) 내공변위 및 붕괴 리스크_삼성-동탄 GTX 2공구,삼성-동탄 GTX 2공구,Risk
Risk_192,하부 지반 연약화(암선 하락)에 따른 지보재 기초 지지력 부족 및 바닥면 침하 리스크_동대구-영천전철 4공구,동대구-영천전철 4공구,Risk
Risk_193,지반 거동(토압)에 의한 강지보재 내측 변형(변위) 및 라이닝 콘크리트 두께 미확보 리스크_현장 공통 리스크,현장 공통 리스크,Risk
Risk_194,암판정 결과에 따른 지보패턴 상향(강화) 및 강지보재/숏크리트 수량 폭증 리스크_새만금전주 5공구,새만금전주 5공구,Risk
Risk_195,막장 암질 급변 시 지보패턴(Type) 변경 결정 지연 및 무보강에 따른 대규모 붕락 리스크_도담-영천전철 3공구,도담-영천전철 3공구,Risk
Risk_196,막장 지반조건 변화에 따른 잦은 발파(지보)패턴 변경 및 하도급 정산 분쟁 리스크_삼성-동탄 GTX 2공구,삼성-동탄 GTX 2공구,Risk
Risk_197,시험발파 진동 초과 및 지질 상이에 따른 터널 굴착패턴(공법) 전면 변경 리스크_서울지하철 923공구,서울지하철 923공구,Risk
Risk_198,터널 갱구부 암반선 하락에 따른 사면 안정성 상실 및 지보 보강(Soil Nailing) 추가 리스크_부산외곽순환고속 9공구,부산외곽순환고속 9공구,Risk
Risk_199,암질 불량 및 절리 과다 노출에 따른 굴착(지보) 효율 급감 및 공기 지연 리스크_새만금전주 5공구,새만금전주 5공구,Risk
Risk_200,설계 상이 암질 출현에 따른 잦은 암판정 시행 및 터널 지보/굴착 공기 지연 리스크_오남수동도로,오남수동도로,Risk
Risk_201,다량의 지하수 유출 및 암질 불량 조우에 따른 지보패턴 전면 상향(강화) 리스크_서울지하철 923공구,서울지하철 923공구,Risk
Risk_202,하부 지반 연약화(암선 하락)에 따른 지보재 기초 지지력 상실 및 바닥면 침하 리스크_동대구-영천전철,동대구-영천전철,Risk
Risk_203,낙관적 암반 판정에 따른 하위 지보패턴 위주 설계 및 치명적 공기/투입비 폭증 리스크_새만금전주 5공구,새만금전주 5공구,Risk
Risk_204,암반 등급 과대평가 구간 전단면 굴착(Full Face) 지보패턴 적용 불가 및 분할 굴착 변경 리스크_도담-영천전철 6공구,도담-영천전철 6공구,Risk
Risk_205,굴착 패턴 변경(전단면→분할굴착)에 따른 원가 적자_도담-영천 6,도담-영천 6,Risk
Risk_206,암반 일축압축강도 과대 평가에 따른 암 매각 불가 및 지보/사토 비용 폭증 리스크_서울지하철 923공구,서울지하철 923공구,Risk
Risk_207,터널 마이크로 벤치 공법 적용 오류에 따른 지보 설치 시간 부족 및 롱벤치 변경 리스크_김포도시철도 3공구,김포도시철도 3공구,Risk
Risk_208,터널 강관다단그라우팅 양생시간 과다 산정에 따른 굴착 공기 지연 및 간접비 폭증 리스크_새만금전주 6공구,새만금전주 6공구,Risk
Risk_209,지상 보강 그라우팅(ASG) 수직도 편차 한계 및 장비 단가 분쟁 리스크_광명전력구,광명전력구,Risk
Risk_210,터널 보조공법(강관다단그라우팅) 과다 중첩 설계 및 발주처 감액 철퇴 리스크_도담-영천전철 3공구,도담-영천전철 3공구,Risk
Risk_211,암판정 결과에 따른 강관보강 그라우팅(락볼트 보조) 물량 변동 및 정산 분쟁 리스크_인천검단지구(3-1) 터널,인천검단지구(3-1) 터널,Risk
Risk_212,주입압 관리 부실에 따른 지반 이완_서울지하철 923공구,서울지하철 923공구,Risk
Risk_213,천공 각도 상향 이탈에 따른 하중 전이 실패_부산외곽순환고속 9공구,부산외곽순환고속 9공구,Risk
Risk_214,막장면 보강 분사 누락에 따른 실무너짐_별내선,별내선,Risk
Risk_215,보강재 선단부 정착 부실_호남KTX,호남KTX,Risk
Risk_216,"지반 불량(단층 파쇄대 등) 구간 인버트 조기 폐합 지연에 따른 터널 변위 및 붕괴 리스크_도담-영천전철 3,6공구","도담-영천전철 3,6공구",Risk
Risk_217,암선 하락에 따른 터널 하부 지반 연약화 및 지보재 기초 지지력 상실 리스크_동대구-영천 4공구,동대구-영천 4공구,Risk
Risk_218,터널 하부 구조물(공동구/인버트) 부력(Uplift) 미고려에 따른 부상 및 파손 리스크_부산외곽순환고속 9공구,부산외곽순환고속 9공구,Risk
Risk_219,터널 바닥면 요철 방치 및 보정층(Leveling Concrete) 누락에 따른 두께 미확보 및 균열 리스크_부산외곽순환고속 9공구,부산외곽순환고속 9공구,Risk
Risk_220,기초 지반 물성 오류 및 지지력 미달에 따른 구조물 부등침하 및 마이크로파일 긴급 보강 리스크_적금-영남 연육교,적금-영남 연육교,Risk
Risk_221,인버트 바닥 발파 여굴 초과에 따른 콘크리트 물량 분쟁 및 바닥정리 부실 리스크_오남수동도로,오남수동도로,Risk
Risk_222,터널 바닥면 요철 방치 및 버력처리 누락에 따른 응력 집중 파손 리스크_포승-평택철도 1공구,포승-평택철도 1공구,Risk
Risk_223,인버트 매스콘크리트 수화열 미고려 및 신축이음 누락에 따른 온도 균열 및 누수 리스크_GTX-A 6공구,GTX-A 6공구,Risk
Risk_224,연약지반 철도 하부 구조물 기초치환(사석) 지지력 미달에 따른 궤도 선형 뒤틀림 리스크_포승-평택철도 1공구,포승-평택철도 1공구,Risk
Risk_225,터널 가배수관(가배수터널) 폐쇄 불량에 따른 지하수 유입경로 형성 및 침수 리스크_평화의 댐,평화의 댐,Risk
Risk_226,유도배수 마비 및 시트 파손_파주-포천,파주-포천,Risk
Risk_227,라이닝 배면 공동 및 지하수 유입_동해선 10공구,동해선 10공구,Risk
Risk_228,방수시트 겹이음 시공불량 및 부적정 형상에 의한 누수 리스크_삼성-동탄 2공구 등,삼성-동탄 2공구 등,Risk
Risk_229,철근 배근 및 후속 작업 중 부주의에 의한 터널 방수시트 훼손 리스크_일반 / 공통,일반 / 공통,Risk
Risk_230,전기·기계 매설물 누락 및 사후 천공_포천-양수,포천-양수,Risk
Risk_231,수축이음/신축이음부 지수판(Waterstop) 시공 불량에 따른 다량의 누수 리스크_한탄강댐/철도 공통,한탄강댐/철도 공통,Risk
Risk_232,신구 구조물 접속부 유도배수(동판 등) 누락에 따른 배면 수압 증가 및 누수 리스크_인천공항철도연계/923공구,인천공항철도연계/923공구,Risk
Risk_233,부식성 가스/산성 지하수 환경에 부적합한 일반 방수재(PE시트 등) 적용 부식 리스크_서남물재생센터 현장,서남물재생센터 현장,Risk
Risk_234,라이닝 폼(거푸집) 이동 및 콘크리트 타설 측압에 의한 방수시트 훼손 및 누수 리스크_일반 / 공통,일반 / 공통,Risk
Risk_235,터널 갱구부(피암터널) 및 신축이음부 말단 처리(실링) 불량에 따른 확산 누수 리스크_울릉도일주2호 등,울릉도일주2호 등,Risk
Risk_236,동절기 배수관 노출 및 동결심도 부족에 따른 방수 파괴 및 노면 결빙 리스크_전주-남원1공구 등,전주-남원1공구 등,Risk
Risk_237,터널 라이닝 시공이음부 매립 실런트 및 누수방지캡 누락에 따른 지속적 누수 리스크_GTX-A 6공구 등,GTX-A 6공구 등,Risk
Risk_238,터널 본선-피난연결통로 접속부 방수(유도배수) 상세 설계 오류 및 누수 리스크_GTX-A 6공구,GTX-A 6공구,Risk
Risk_239,완전방수 터널(TBM) 내측 유도배수 트렌치 설계 누락 및 인버트 부상 리스크_GTX-A 6공구 등,GTX-A 6공구 등,Risk
Risk_240,곡면/요철 구간 일반 방수시트 적용 오류에 따른 부착력 상실 및 방수층 들뜸 리스크_인천공항철도연계,인천공항철도연계,Risk
Risk_241,"후속 공정(철근 배근, 용접) 부주의에 의한 터널 방수시트 핀홀 및 찢김 누수 리스크_일반 현장 공통",일반 현장 공통,Risk
Risk_242,하부 인버트 방수시트 보호몰탈 파손 및 장비 통행에 따른 방수층 붕괴 리스크_삼성-동탄 2공구 등,삼성-동탄 2공구 등,Risk
Risk_243,초대형·복잡 형상 지하 구조물 수압 미고려 및 이음부 방수 설계 누락 리스크_구조물 공통(L/L),구조물 공통(L/L),Risk
Risk_244,갱구부 및 외부 노출 이음부 방수 실링(코킹) 자외선(UV) 열화 및 누수 리스크_적금-영남연육교 등,적금-영남연육교 등,Risk
Risk_245,나공홀(타이볼트 구멍 등) 메움 미실시에 따른 수압 집중에 의한 터널 균열 및 누수 리스크_터널공사 공통(L/L),터널공사 공통(L/L),Risk
Risk_246,관통 배관(전기/통신/가로등) 연결부 방수 코킹(지수 실링) 미반영 및 침투 누수 리스크_여수산단진입도로 등,여수산단진입도로 등,Risk
Risk_247,수축조인트 및 시공이음부 지수판(Waterstop) 시공 불량 및 다짐 부족에 따른 침수 리스크_한탄강댐(지하 갤러리),한탄강댐(지하 갤러리),Risk
Risk_248,구조물 하부 지하수 다량 발생에 따른 맹암거 배수유도 누락 및 지반 이완 리스크_김포-관산 도로 등,김포-관산 도로 등,Risk
Risk_249,터널 배수관 단면 협소 및 토립자(이물질) 적체에 따른 배수관 폐색 및 노면 결빙 리스크_전주-남원1공구 등,전주-남원1공구 등,Risk
Risk_250,집중호우 시 터널(집수정) 배수 펌프 처리용량 초과에 따른 구조물 전면 침수 리스크_진접선 3공구,진접선 3공구,Risk
Risk_251,터널 굴착 중 지하수 과다 유출에 따른 오폐수 처리시설 및 배수 용량 초과 리스크_삼성-동탄 2공구,삼성-동탄 2공구,Risk
Risk_252,숏크리트/레미콘 타설 장비 세척수 미고려에 따른 오폐수처리시설 용량 초과 및 환경 규제 리스크_새만금전주 6공구,새만금전주 6공구,Risk
Risk_253,정거장 하부 배수관 유지보수 작업 공간 협소에 따른 사후 관리 불가 리스크_진접선 3공구,진접선 3공구,Risk
Risk_254,배수 관로 사선 부설 구간 다짐 불량에 따른 부등 침하 및 역구배 발생 리스크_평택 화양지구 등,평택 화양지구 등,Risk
Risk_255,타 공종 시멘트 페이스트 유입 및 적체에 따른 배수관로 폐쇄 리스크_부산명지 등,부산명지 등,Risk
Risk_256,외부 불명수(지구 외 우수) 과다 유입 및 역류 방지 대책 부재에 따른 침수 리스크_양주회천 택지조성 등,양주회천 택지조성 등,Risk
Risk_257,지하구조물 배수용 트렌치 구배(0%) 설계 불량에 따른 오폐수 체수 및 슬러지 적체 리스크_시화하수처리장 현장 등,시화하수처리장 현장 등,Risk
Risk_258,도로 커브 및 횡단 구간 얕은 토피 배수관 차량 하중(중장비) 미고려 파손 리스크_울릉도일주도로 등,울릉도일주도로 등,Risk
Risk_259,터널 용수구간 드레인보드 설계 누락 및 배면 수압 상승 리스크_삼성-동탄 2공구 등,삼성-동탄 2공구 등,Risk
Risk_260,해양 및 부식성 환경 배관 재질 부적정 적용에 따른 조기 부식 및 파손 리스크_제주해군기지 등,제주해군기지 등,Risk
Risk_261,집수정 배수펌프 시운전(검측) 미실시 및 집중호우 시 대규모 침수 리스크_서울제물포터널 2공구,서울제물포터널 2공구,Risk
Risk_262,관로 토피 부족 및 노출부 보온 미흡에 따른 동절기 배관 동결 및 막힘 리스크_관로공사 공통(L/L),관로공사 공통(L/L),Risk
Risk_263,집수정/침사지 준설(유지관리) 소홀에 따른 토립자 유입 및 배수 펌프 파손 리스크_진접선 3공구,진접선 3공구,Risk
Risk_264,알칼리성 오폐수 발생량 초과 및 pH 저감시설 용량 부족에 따른 환경 오염 리스크_새만금전주 6공구,새만금전주 6공구,Risk
Risk_265,"지하 협소 공간 내 지장물(배수관, 통신케이블) 시공 간섭 및 유지관리 불가 리스크_포승-평택철도 등",포승-평택철도 등,Risk
Risk_266,구조물 배수 연결부 수밀성/진동 저항성 설계 미흡에 따른 관로 이탈 및 배면 세굴 리스크_평택 화양지구 등,평택 화양지구 등,Risk
Risk_267,수직구 가시설(Slurry Wall)과 링빔 사이 홈메우기(모르타르 충전) 누락에 따른 편압 및 변위 리스크_GTX-A 6공구,GTX-A 6공구,Risk
Risk_268,"터널 굴착 중 다량 지하수 유출에 따른 인접 구조물 손상 및 긴급 지수 그라우팅 리스크_광명,금천 전력구","광명,금천 전력구",Risk
Risk_269,차수 그라우팅 시공 후 차수효과 검증용 검사공(수압시험) 누락에 따른 지수 확인 불가 리스크_한탄강댐 현장,한탄강댐 현장,Risk
Risk_270,라이닝 천단부 배면 공동 발생_중봉터널,중봉터널,Risk
Risk_271,신축이음부 수팽창 지수재 복원력 상실_도담-영천,도담-영천,Risk
Risk_272,균열 부위 지수 그라우팅 주입 실패_서울지하철 923공구,서울지하철 923공구,Risk
Risk_273,종방향 배수관 인근 공동 발생_중봉터널,중봉터널,Risk
Risk_274,거푸집(Steel Form 등) 측압 과소평가 및 구조검토 미실시에 따른 변위/전도 리스크_상주-영천 10공구 등,상주-영천 10공구 등,Risk
Risk_275,철근 피복 두께 부족 및 스페이서 결속 부실에 따른 철근 부식 및 균열 리스크_하자 L/L(철콘공사),하자 L/L(철콘공사),Risk
Risk_276,"라이닝 내 매입물(Block-out, 슬리브) 누락에 따른 후속 구조물 코어 천공 및 손상 리스크_새만금전주 6공구 등",새만금전주 6공구 등,Risk
Risk_277,강재거푸집 노후화 및 박리제 불량에 따른 라이닝 표면 뜯김(Shingle) 품질 하자 리스크_파주-포천 2공구 등,파주-포천 2공구 등,Risk
Risk_278,거푸집 하부(기초) 밀착 불량에 따른 시멘트 페이스트 유출 및 라이닝 단면 결손 리스크_GTX-A 6공구 등,GTX-A 6공구 등,Risk
Risk_279,라이닝 철근 체어바 끝단 마감 부실에 의한 방수층 훼손 및 누수 리스크_공통(하자 L/L),공통(하자 L/L),Risk
Risk_280,비상주차대/피난연락갱 등 확폭 구간 거푸집 구조검토 누락 및 붕괴 리스크_서울지하철 923공구 등,서울지하철 923공구 등,Risk
Risk_281,천단부(Crown) 및 축류팬실 고소작업 발판/비계 누락에 따른 검측 부실 리스크_파주-포천 2공구 등,파주-포천 2공구 등,Risk
Risk_282,내공 치수(Clearance) 및 이격거리 미확보에 따른 시설물 간섭 및 단차 리스크_진접선 3공구 등,진접선 3공구 등,Risk
Risk_283,과다 여굴 구간 편심 측압 작용에 따른 이동식 거푸집(Form Gantry) 전도 리스크_상주-영천 10공구 등,상주-영천 10공구 등,Risk
Risk_284,천단부/경사부 마감 거푸집 견고성 부족 및 페이스트 유출에 따른 단면 결손 리스크_평화의댐 치수능력증대 등,평화의댐 치수능력증대 등,Risk
Risk_285,곡선/헌치 구간 철근 겹침 이음(Lap Joint) 길이 미달 및 구조적 내하력 상실 리스크_진접선 3공구 등,진접선 3공구 등,Risk
Risk_286,터널 라이닝 폼(Form) 길이 변경에 따른 타 공종(전차선 C찬넬) 매립 위치 오시공 리스크_동해선 포항-삼척 10공구,동해선 포항-삼척 10공구,Risk
Risk_287,장기 방치된 연결용 철근(Starter Bar) 부식에 따른 콘크리트 부착력 상실 리스크_충주댐 치수능력증대 등,충주댐 치수능력증대 등,Risk
Risk_288,거푸집 하부 지지대(스토퍼) 지지력 부족 및 타설 진동에 따른 폼 이동(변위) 리스크_평화의댐 치수능력증대 등,평화의댐 치수능력증대 등,Risk
Risk_289,응력 집중 구간(제트팬 거치부 등) 전단 보강근 설계 누락 및 전단 균열 리스크_적금-영남연육교 등,적금-영남연육교 등,Risk
Risk_290,터널 내 레미콘 장거리 운반 및 슬럼프 저하에 따른 압송관 막힘 및 타설 불량 리스크_파주-포천 2공구 등,파주-포천 2공구 등,Risk
Risk_291,부식성/염해 환경 부적정 재료 적용에 따른 콘크리트 박리 및 철근 조기 부식 리스크_새만금전주 6공구 등,새만금전주 6공구 등,Risk
Risk_292,부적정 배합 설계 및 임의 변경에 따른 재료분리 및 노면 망상균열 리스크_부산지하철반송선 등,부산지하철반송선 등,Risk
Risk_293,연행공극(Air Content) 부족 및 동결손상에 따른 콘크리트 표면 박리(Scaling) 리스크_하자 L/L 공통,하자 L/L 공통,Risk
Risk_294,배합 불량 및 다짐 미흡에 따른 굵은 골재 걸림 및 대형 공동(Honeycomb) 발생 리스크_광양시우회도로 등,광양시우회도로 등,Risk
Risk_295,라이닝 천단부 충진 부족 및 폼 장기사용 표면 물곰보/공동 발생 리스크_새만금전주 6공구 등,새만금전주 6공구 등,Risk
Risk_296,다짐 장비(진동기) 운용 불량 및 타설계획 미흡에 따른 대형 공동(Honeycomb) 발생 리스크_광양시우회도로 등,광양시우회도로 등,Risk
Risk_297,기계식 급속 타설 측압 과소평가 및 거푸집(라이닝 폼) 전도 리스크_상주-영천 10공구 등,상주-영천 10공구 등,Risk
Risk_298,양생 관리 부족 및 표면 수분 급격 증발에 따른 망상 균열(Drying Shrinkage) 발생 리스크_일반 터널 공통,일반 터널 공통,Risk
Risk_299,확폭구간 및 좌우 비대칭 타설(편타설) 시 편심 측압 작용 거푸집 붕괴 리스크_장대 터널 공통,장대 터널 공통,Risk
Risk_300,지하수 과다 유입 및 배수펌프 용량 부족에 따른 콘크리트 Wash-out 및 강도 저하 리스크_진접선 3공구 등,진접선 3공구 등,Risk
Risk_301,레미콘 수급 불안정 및 공급 지연에 따른 콜드 조인트(Cold Joint) 발생 리스크_오남수동도로 등,오남수동도로 등,Risk
Risk_302,매스콘크리트(확폭부 등) 장기간 연속 타설 및 수화열 제어 실패 리스크_평화의댐 치수증대 등,평화의댐 치수증대 등,Risk
Risk_303,블록아웃 및 천단부 후타 콘크리트(2차 타설) 신구 부착력 상실 리스크_한탄강댐/호남고속철도 등,한탄강댐/호남고속철도 등,Risk
Risk_304,동절기 갱구부 강풍 노출 및 보온 양생(방풍문) 미흡에 따른 초기 동해(凍害) 리스크_새만금전주 6공구 등,새만금전주 6공구 등,Risk
Risk_305,"구조물 수평/수직 시공이음부 면처리(치핑, 그린컷) 미실시에 따른 신-구 콘크리트 접합 불량 및 누수 리스크_진접선 3공구 등",진접선 3공구 등,Risk
Risk_306,수축이음 및 시공이음부 지수판(Waterstop) 시공 불량 및 누락에 따른 차수 실패 리스크_한탄강댐/삼성-동탄 등,한탄강댐/삼성-동탄 등,Risk
Risk_307,라이닝 2차 타설부(블록아웃 등) 이음부 청소 미흡 및 수밀성 저하에 따른 물비침(누수) 리스크_한탄강댐 등,한탄강댐 등,Risk
Risk_308,콘크리트 노출면 마감 불량(표면 곰보) 방치 및 샌드그라인딩 면보수 원가 상승 리스크_파주-포천/새만금전주 등,파주-포천/새만금전주 등,Risk
Risk_309,인접 블록 간 이음부 단차(Step) 발생 및 내공 치수 부족에 따른 할석(면갈이) 리스크_진접선 3공구 등,진접선 3공구 등,Risk
Risk_310,터널 바닥 요철보정층(린콘크리트) 누락 및 바닥정리 미흡에 따른 포장 침하 리스크_부산외곽순환고속 9공구 등,부산외곽순환고속 9공구 등,Risk
Risk_311,터널 내 포장 양생 미흡 및 신설계지침 오적용에 따른 표면 박리(Scaling) 리스크_부산외곽순환고속 9공구 등,부산외곽순환고속 9공구 등,Risk
Risk_312,주행로 신축이음(줄눈) 설계 미반영 및 커팅 지연에 따른 무작위 균열(Random Crack) 리스크_부산지하철반송선 등,부산지하철반송선 등,Risk
Risk_313,집중호우 및 지하수 유입량 과소 산정에 따른 집수정 오버플로우(수몰) 리스크_진접선 3공구 등,진접선 3공구 등,Risk
Risk_314,배수펌프 제어반(MCC) 다습 환경 노출 및 부식에 따른 펌프 가동 중단 리스크_인천교통 214공구 등,인천교통 214공구 등,Risk
Risk_315,이물질 유입 방지시설 미비 및 관경 협소에 따른 배수관/폐수로 폐쇄 리스크_서울지하철 923공구 등,서울지하철 923공구 등,Risk
Risk_316,지하수위 상승 시 지하구조물(집수정/전력공동구) 부력 저항성 미확보 및 부상 리스크_부산외곽순환고속 9공구 등,부산외곽순환고속 9공구 등,Risk
